Date,open,high,low,close,MA,Smoothing Line,MA.1,Smoothing Line.1,Volume,Volume MA,ATR,RSI,RSI-based MA,open_ovx,high_ovx,low_ovx,close_ovx
2007-05-11,61.89,62.56,61.68,62.37,62.285300000000014,62.40756000000003,62.58479999999999,62.57444,216920,228967.65,1.5959136575681874,46.55081826632122,50.353979001155984,26.41,26.41,26.41,26.41
2007-05-14,62.43,63.07,62.14,62.46,62.231400000000015,62.34749000000004,62.60119999999999,62.58312000000001,200433,227399.15,1.5483483963133169,46.99923616518932,49.68597751981595,27.23,27.23,27.23,27.23
2007-05-15,62.54,63.3,62.07,63.17,62.175250000000005,62.28898000000004,62.66319999999999,62.60072,185334,225779.35,1.5256092251480795,50.52556830485226,48.96718470689397,27.89,27.89,27.89,27.89
2007-05-16,63.15,63.3,61.9,62.55,62.113450000000014,62.230310000000046,62.70039999999998,62.6254,216160,225719.05,1.5166371376375023,47.55038873773501,48.29894558679735,27.07,27.07,27.07,27.07
2007-05-17,62.62,65.09,62.48,64.86,62.05870000000001,62.17282000000004,62.76119999999998,62.66216000000001,267955,228258.4,1.59473448494911,57.57427671284453,48.02305557700883,24.86,24.86,24.86,24.86
2007-05-18,65.9,66.44,65.59,65.98,62.01130000000001,62.11802000000004,62.84799999999999,62.7148,168618,228173.6,1.593682021738459,61.42377703307693,48.27309711229461,24.71,24.71,24.71,24.71
2007-05-21,65.94,67.1,65.28,66.87,61.97185000000001,62.06611000000004,62.98439999999999,62.79144,192779,228295.7,1.609847591614283,64.2033267107694,49.12352695924476,24.67,24.67,24.67,24.67
2007-05-22,66.8,67.0,65.4,65.51,61.91450000000002,62.01396000000004,63.11639999999999,62.88208,201705,225693.85,1.6091441922132623,57.39749422715969,49.69090248492154,26.03,26.03,26.03,26.03
2007-05-23,65.61,66.2,65.05,65.77,61.86180000000001,61.963630000000045,63.27319999999999,62.99664,230829,227269.2,1.576348178483744,58.30741108294822,50.4586239528842,26.35,26.35,26.35,26.35
2007-05-24,65.72,66.15,63.82,64.18,61.80095000000002,61.912080000000046,63.39359999999999,63.12312000000001,212993,227268.0,1.630180451449191,51.11719357497687,51.03863865378735,26.63,26.63,26.63,26.63
2007-05-25,64.48,65.3,64.21,65.2,61.75695000000002,61.86121000000005,63.546599999999984,63.26284,144492,223578.5,1.5937389906313917,54.95475185512032,52.00438774659723,25.81,25.81,25.81,25.81
2007-05-29,64.98,65.24,62.54,63.15,61.70095000000002,61.80703000000004,63.61799999999998,63.38956,221016,223358.6,1.6727576341577204,46.97319948350207,52.13653869825317,27.83,27.83,27.83,27.83
2007-05-30,63.26,63.87,62.88,63.49,61.650750000000016,61.75428000000004,63.69379999999998,63.50504000000001,215024,220918.55,1.6239892317178828,48.3140018371233,52.54965693750784,28.61,28.61,28.61,28.61
2007-05-31,63.31,64.27,62.43,64.01,61.60555000000003,61.70303000000005,63.78899999999998,63.6082,275955,222738.5,1.6394185723094623,50.38048085974189,53.01942320366864,28.44,28.44,28.44,28.44
2007-06-01,64.23,65.25,63.8,65.08,61.57150000000002,61.65714000000005,63.89839999999997,63.70916,225803,223350.6,1.6258886742873582,54.41887113446665,53.581426979964746,27.39,27.39,27.39,27.39
2007-06-04,64.87,66.48,64.53,66.21,61.55225000000003,61.61620000000005,63.98879999999998,63.7976,228630,223155.85,1.649039483266833,58.28052968896302,54.38723366023429,27.36,27.36,27.36,27.36
